frame_id	frame_kind	relative_path	decoded_length	decoded_sha256	parent_frame_id	mutation_kind	mutation_offset	old_hex	new_hex
request-17-unknown-network	request	frames/request-17-unknown-network.hex	232	6c8b35cc61f381d0be8c67bbc322391478687e27f9efb5d062aade7ff18f9a19	request-00-base-empty	replace	20	01	02
request-18-header-reserved	request	frames/request-18-header-reserved.hex	232	df8e79c339b6fa51513a7ffc45ba29b050eaf6a5bcdbc50da4e9a40e0fffc0b2	request-00-base-empty	replace	21	00	01
request-19-derivation-plus-one	request	frames/request-19-derivation-plus-one.hex	232	426bcc92b29f49f7359a8be8821ee53f03497c51b2b35a71995014b8638643c8	request-00-base-empty	replace	24	00000000	a1860100
request-20-zero-source	request	frames/request-20-zero-source.hex	232	1f4dd47d6cd8ac44d610d10bbfde1c6194b9b0eed39e63e1e68d46a474690d73	request-00-base-empty	replace	28	4141414141414141414141414141414141414141414141414141414141414141	0000000000000000000000000000000000000000000000000000000000000000
request-21-zero-descriptor-length	request	frames/request-21-zero-descriptor-length.hex	232	1c3b2eff05f373dd790c8a3f2b41fd1ca0edb30cb99938f10edc07b31ede7d7c	request-00-base-empty	replace	60	9c000000	00000000
request-22-candidate-count-plus-one	request	frames/request-22-candidate-count-plus-one.hex	232	5551e1ed6356330a00588564676a58572a87c2cc77ddc33df1a2e14ffa5e79c3	request-00-base-empty	replace	64	00000000	01100000
request-23-previous-count-plus-one	request	frames/request-23-previous-count-plus-one.hex	232	049289998a643d07dd465171af01b8b6a5780e75f1e21b7ca609ecbfce8d076e	request-00-base-empty	replace	68	00000000	01400000
request-24-header-tail-reserved	request	frames/request-24-header-tail-reserved.hex	232	dd5220b278e70f92c78e89ad729ad075b81dfb3b7a5848cd0fbab79d0b866041	request-00-base-empty	replace	72	00	01
request-25-trailing-byte	request	frames/request-25-trailing-byte.hex	233	5528282e3f93cdc53252e429a0c2406971784c641b9ba30f6277d9bc98c9874f	request-00-base-empty	append	232	-	00
request-25a-trailing-byte-canonical-length	request	frames/request-25a-trailing-byte-canonical-length.hex	233	6ad1ce64360c29f7b590756530f6fe9ac799f8ba180c881853c2519962c23e81	request-25-trailing-byte	replace	8	e800000000000000	e900000000000000
request-26-concatenated	request	frames/request-26-concatenated.hex	464	6015b2b3871a3374504a478f70d4e8e9b84a2a8ba4fc76f7d2f0eb0d21200039	request-00-base-empty	append	232	-	574c465101004c00e80000000000000000000000010000000000000041414141414141414141414141414141414141414141414141414141414141419c000000000000000000000000000000656c77706b68285b32386233663134652f3834272f31272f30275d747075624443325134784b3458483732474d374d6f774e75616a795756626967524c42574b73777950355438386870507775356e47714a576e6461387a684a454674373161763733486d386d554d4d46537a3961634e567a7a38623155626453484344584b546253763565457974752f3c303b313e2f2a292375306b6863306b67
request-26a-concatenated-canonical-length	request	frames/request-26a-concatenated-canonical-length.hex	464	ec3d53fe2380e54fb5276d908a597c82610ed38762fba5fbe606ced684b341b5	request-26-concatenated	replace	8	e800000000000000	d001000000000000
request-27-descriptor-whitespace	request	frames/request-27-descriptor-whitespace.hex	94	996b0deeb1b5c8111fafacd6a9715ad7b3377ed66d7eb8080a3425dbc338838e	request-02-base-semantic-reject	replace	83	78	20
request-28-descriptor-checksum-uppercase	request	frames/request-28-descriptor-checksum-uppercase.hex	94	03edce2273781a6fa53eba247d1ffe4e9a5bddb68a222a9b45616f216df681f4	request-02-base-semantic-reject	replace	93	67	47
request-28a-descriptor-nul	request	frames/request-28a-descriptor-nul.hex	94	3d9c694789392660601590493fd99b934a0c9df4964bdb6a4978eb04402ad0a7	request-02-base-semantic-reject	replace	83	78	00
request-28b-descriptor-non-ascii	request	frames/request-28b-descriptor-non-ascii.hex	94	1c0167d265a69a375a33fe06b1f16ad1d376fa880dd03529d2ccd41d29db278b	request-02-base-semantic-reject	replace	83	78	80
request-29-zero-candidate-length	request	frames/request-29-zero-candidate-length.hex	258	274e173b80e9359df6da02eb08ff63edf4d34d92344faf4590e293e8e47d045e	request-01-base-nonempty	replace	232	03000000	00000000
request-30-candidate-reserved	request	frames/request-30-candidate-reserved.hex	258	0348c9fd62ebb0a869607af4908e63c192077540d82d5f68e192986a759120ee	request-01-base-nonempty	replace	240	00	01
request-31-previous-count-mismatch	request	frames/request-31-previous-count-mismatch.hex	258	da1148180d276c191ddd9bbb9a09c8073a9df68cb897612ed15c9ffede7b5c63	request-01-base-nonempty	replace	68	02000000	01000000
response-00-base-empty-a	response	frames/response-00-base-empty-a.hex	64	342e8758c8a5239d663523ede94d23851dbd16d49854ab2335f0718659eaa23c	-	base	-	-	-
response-01-base-empty-b	response	frames/response-01-base-empty-b.hex	64	e54ef0bba09f6d30371acf1bf0c99c19d9e924b9fc28f3cbdcd8023866c47457	-	base	-	-	-
response-02-base-spend-only	response	frames/response-02-base-spend-only.hex	172	5635f7559415163a48ee565b76332f5c1538e82c58cb2aee21b2d5904d4eede4	-	base	-	-	-
response-03-base-one-output	response	frames/response-03-base-one-output.hex	316	94be20258025135fcfcaffcc58898797bccd1b036dc2d6f5ad9379d575e19c71	-	base	-	-	-
response-04-base-two-outputs	response	frames/response-04-base-two-outputs.hex	460	9bbb64f337f598889ddcf9b59ff45a846185943d5acc408322729540071b9bec	-	base	-	-	-
response-05-base-three-inputs	response	frames/response-05-base-three-inputs.hex	244	3e43d07e38c8473ddc62e1cfa4775d12610d26e4c45210f413f8eb02de9a9795	-	base	-	-	-
response-06-base-multi-asset	response	frames/response-06-base-multi-asset.hex	640	9619cc91eee1bf15125f5f414497ff8056d1771d7c0c41f3dca50af9cd7ff89f	-	base	-	-	-
response-07-order-byte31-step-one	response	frames/response-07-order-byte31-step-one.hex	640	129e05f08bb0bf56eee33d558af83c890e3552e2c03ce138b4f7d4c6122960e2	response-06-base-multi-asset	replace	64	2121212121212121212121212121212121212121212121212121212121212121	2020202020202020202020202020202020202020202020202020202020202010
response-08-order-byte31	response	frames/response-08-order-byte31.hex	640	5172cd441dd89eeef6eed2ad97ddc67aef12d8581ad99724779d3bfacb5f2b5d	response-07-order-byte31-step-one	replace	352	2222222222222222222222222222222222222222222222222222222222222222	2020202020202020202020202020202020202020202020202020202020202020
response-09-order-interior-step-one	response	frames/response-09-order-interior-step-one.hex	640	6cd4edf474ad131f21ddcc419e783356de9402e35028c9b905c638258f3e5caa	response-08-order-byte31	replace	64	2020202020202020202020202020202020202020202020202020202020202010	2020202020202020202020202020201030303030303030303030303030303030
response-0a-order-interior	response	frames/response-0a-order-interior.hex	640	ff55fbbecc9f6854461e64d9b4543b2f02a32774cdfd350af6d4576997afdaff	response-09-order-interior-step-one	replace	352	2020202020202020202020202020202020202020202020202020202020202020	2020202020202020202020202020202030303030303030303030303030303030
response-10-inside-magic-truncated	response	frames/response-10-inside-magic-truncated.hex	2	034f519b2478c03f34b3238dc808c74ed8740989fedf73132ab94643a57efe53	response-00-base-empty-a	truncate	2	-	-
response-10a-body-truncated	response	frames/response-10a-body-truncated.hex	200	310f7bf86d3bf1a51c1e75a345f13fac511b1ca7332f36f8d7788e06d35aa265	response-03-base-one-output	truncate	200	-	-
response-10b-body-truncated-canonical-length	response	frames/response-10b-body-truncated-canonical-length.hex	200	6edb22a4bc53db374ade81c1892b4e88f01d936cd991fdbcdcdd449423758ab8	response-10a-body-truncated	replace	8	3c01000000000000	c800000000000000
response-11-truncated-header	response	frames/response-11-truncated-header.hex	4	8243eda8aa180195a048ace018a4ad7ac3cf7fc6a3006e513df5a0200c98afa6	response-00-base-empty-a	truncate	4	-	-
response-12-wrong-magic	response	frames/response-12-wrong-magic.hex	64	34e1c2ae849d8617a8bd8d64bed8290d4c96e23acdd7a7e79ab48d3aa32f98d2	response-00-base-empty-a	replace	0	57	58
response-13-wrong-version	response	frames/response-13-wrong-version.hex	64	cc3b469c86d86ccc8d3fdc148a84a0904e5cb25fa8b9059e9ad3e59876515f79	response-00-base-empty-a	replace	4	0100	0200
response-14-wrong-header-length	response	frames/response-14-wrong-header-length.hex	64	466a41dfaa4509f2f79fcad7d7b637935028dc393cf9e4adceeffe5c03a6ac20	response-00-base-empty-a	replace	6	4000	3f00
response-15-declared-length-mismatch	response	frames/response-15-declared-length-mismatch.hex	64	cac5220d531d6bd639affbca5ca84f02a9a69d3d974073e4a855beee04b20f83	response-00-base-empty-a	replace	8	4000000000000000	4100000000000000
response-16-flags-nonzero	response	frames/response-16-flags-nonzero.hex	64	a2dfbc29246639b5e2fdaaf18a8d6f1a572dbfdc3e3f84218274b7e87f07db5e	response-00-base-empty-a	replace	16	00	01
response-17-transaction-count-plus-one	response	frames/response-17-transaction-count-plus-one.hex	64	7f41d4d87d3f895222386073e048b470c2c7093c69a177c4e757a5b31eeb9fbe	response-00-base-empty-a	replace	20	00000000	01100000
response-18-output-count-plus-one	response	frames/response-18-output-count-plus-one.hex	64	97a19c4d5bab36f0e1a3bb083395467ec047d7d1f67891f2753cfe3ec33800e4	response-00-base-empty-a	replace	24	00000000	f7430200
response-19-header-reserved	response	frames/response-19-header-reserved.hex	64	3fd0d9005c0190a6ab83de338b0a329d61a79e519cae10aebefc88f75942bdb3	response-00-base-empty-a	replace	28	00	01
response-20-zero-source	response	frames/response-20-zero-source.hex	64	3f70580aac7495b4b77d195b04a8ae1e802f57afba23e344bc88f37054bab8e9	response-00-base-empty-a	replace	32	4141414141414141414141414141414141414141414141414141414141414141	0000000000000000000000000000000000000000000000000000000000000000
response-21-trailing-byte	response	frames/response-21-trailing-byte.hex	65	068f326181bdd302d718ed161398864a48dd2d1a76da309e365e6e2f40fd4da2	response-00-base-empty-a	append	64	-	00
response-21a-trailing-byte-canonical-length	response	frames/response-21a-trailing-byte-canonical-length.hex	65	d4da27215cea37fb145e02cff02248314907f41c1e28dc567edb1894bc83025f	response-21-trailing-byte	replace	8	4000000000000000	4100000000000000
response-22-concatenated	response	frames/response-22-concatenated.hex	128	db7052520e6f99c0d15dfa9364574a1999d20242125d1116bc73c20e0ff93650	response-00-base-empty-a	append	64	-	574c4656010040004000000000000000000000000000000000000000000000004141414141414141414141414141414141414141414141414141414141414141
response-22a-concatenated-canonical-length	response	frames/response-22a-concatenated-canonical-length.hex	128	4138a03144b9b0b26de874912740c2fa6d234b77cf25fbf92134a9653827896c	response-22-concatenated	replace	8	4000000000000000	8000000000000000
response-23-transaction-order-equal	response	frames/response-23-transaction-order-equal.hex	640	a6568228491e652062a17e6d1a3eb8efd29d74ce514096229e1577210c34b4bc	response-0a-order-interior	replace	352	2020202020202020202020202020202030303030303030303030303030303030	2020202020202020202020202020201030303030303030303030303030303030
response-24-transaction-order-reversed	response	frames/response-24-transaction-order-reversed.hex	640	e8dbb2e04511ff201e78ba92a92df1a62fe20520241b10c5b5d2ec0c571f53bb	response-0a-order-interior	replace	352	2020202020202020202020202020202030303030303030303030303030303030	1f20202020202020202020202020202030303030303030303030303030303030
response-25-duplicate-input-first	response	frames/response-25-duplicate-input-first.hex	244	1b2c92c3c7dffca2a4a24e419e2b27645f6b115e5794532f96beced060e43cd3	response-05-base-three-inputs	replace	172	323232323232323232323232323232323232323232323232323232323232323201000000	313131313131313131313131313131313131313131313131313131313131313100000000
response-26-duplicate-input-last	response	frames/response-26-duplicate-input-last.hex	244	b450064b9968578bc3ddc71ee375bc7a3136251a54f1826db28649e014aa3def	response-05-base-three-inputs	replace	172	323232323232323232323232323232323232323232323232323232323232323201000000	333333333333333333333333333333333333333333333333333333333333333302000000
response-27-zero-transaction-id	response	frames/response-27-zero-transaction-id.hex	316	b4148a7cd05cc4f02a26338da45afb4de4a0c80a044b20d68b4ae517a1993fb0	response-03-base-one-output	replace	64	2121212121212121212121212121212121212121212121212121212121212121	0000000000000000000000000000000000000000000000000000000000000000
response-28-zero-input-id	response	frames/response-28-zero-input-id.hex	316	23c6430f0aa0a02a7bf42c2349150215eab517a2a0fbbce011a9d8776b630098	response-03-base-one-output	replace	136	3131313131313131313131313131313131313131313131313131313131313131	0000000000000000000000000000000000000000000000000000000000000000
response-29-zero-input-count	response	frames/response-29-zero-input-count.hex	316	9507f3f3a040f729dd39faf12709db807690a5d9845424750bd5cee4637370fe	response-03-base-one-output	replace	128	01000000	00000000
response-30-input-index-maximum	response	frames/response-30-input-index-maximum.hex	316	cec5e85e9ddc4a514b417d22e81e8427c1636700108b58e306709ceaed1fa906	response-03-base-one-output	replace	168	00000000	ffffff3f
response-31-input-index-plus-one	response	frames/response-31-input-index-plus-one.hex	316	b9f37ba8a5e6a0fc3c2ffd34e5fcab81c4c1b665a24c5b9cba03bbdff023ac51	response-03-base-one-output	replace	168	00000000	00000040
response-32-output-index-maximum	response	frames/response-32-output-index-maximum.hex	316	016695dbcd3ca8b42fe8f130398a8888ce4cc57372f7fbb917e25a1227e80339	response-03-base-one-output	replace	172	03000000	ffffff3f
response-33-output-index-plus-one	response	frames/response-33-output-index-plus-one.hex	316	c0ba8c7c3296b42756c345dde281cf9f81383e86bbcbca8cc8268d4f85b5ce3d	response-03-base-one-output	replace	172	03000000	00000040
response-34-derivation-maximum	response	frames/response-34-derivation-maximum.hex	316	9bf9cded085d1be5a8a448f655e65ba38242767d04c9c114a2f1e0ce2749a80a	response-03-base-one-output	replace	250	00000000	a0860100
response-35-derivation-plus-one	response	frames/response-35-derivation-plus-one.hex	316	351f525302e12f854a77fd82f4e84aedb0799a98c466fd9a157f4a8f1113df9a	response-03-base-one-output	replace	250	00000000	a1860100
response-36-value-maximum	response	frames/response-36-value-maximum.hex	316	e290108f2f68f43763141f8517a2a7dca7a704e064222717a63d921dbfed7551	response-03-base-one-output	replace	286	0100000000000000	ffffffffffffff7f
response-37-value-zero	response	frames/response-37-value-zero.hex	316	7a5d2d621c116d4bc0ed07f84f57eb5fb3d717eeb041915cc7155a7030062119	response-03-base-one-output	replace	286	0100000000000000	0000000000000000
response-38-value-plus-one	response	frames/response-38-value-plus-one.hex	316	641edb92ec29250f8e109920757973a722ce5aa2dcff3c9bf742e612190ea33b	response-03-base-one-output	replace	286	0100000000000000	0000000000000080
response-39-unknown-branch	response	frames/response-39-unknown-branch.hex	316	b76b9bc3042987fe119187fabf5807042cd32601cca354a960ba2bb45e7f45df	response-03-base-one-output	replace	246	00	02
response-40-output-reserved	response	frames/response-40-output-reserved.hex	316	e5ff5e5ccbb7a108c6023d75c52f9cc6d0f3a13954b8104ce4e02e7dff205efb	response-03-base-one-output	replace	247	00	01
response-41-invalid-spend-key	response	frames/response-41-invalid-spend-key.hex	316	997881b36a0cbf841868ed85289f17bcd81bf0cc839057d2f3f2f63b1936fe6f	response-03-base-one-output	replace	180	02	04
response-42-invalid-blinding-key	response	frames/response-42-invalid-blinding-key.hex	316	3212c8c28107086209e46afba208bc913f894125f24b15eb3f00adc2bbcc7e9a	response-03-base-one-output	replace	213	02	04
response-43-wrong-script-length	response	frames/response-43-wrong-script-length.hex	316	53425af1255892a126de32f4796b3f7b7a95b37cc2dda91e1f28ad1c61c676dd	response-03-base-one-output	replace	176	16000000	15000000
response-44-script-mismatch	response	frames/response-44-script-mismatch.hex	316	da1a0aeae0a52ae4ccfd5f57ad76113437e88024914580f03d04eb6aad57993b	response-03-base-one-output	replace	294	00	01
response-45-asset-zero	response	frames/response-45-asset-zero.hex	316	53da88096dce71752e12f2c2c2845281b59ed2d990fd672d670c5d7058b4a55a	response-03-base-one-output	replace	254	7171717171717171717171717171717171717171717171717171717171717171	0000000000000000000000000000000000000000000000000000000000000000
response-46-output-index-duplicate	response	frames/response-46-output-index-duplicate.hex	460	3b38dc5d77083de2f77917ceaefb3cd33d2daa4aa25781be690a969e30c39ccd	response-04-base-two-outputs	replace	316	04000000	03000000
response-47-output-index-reversed	response	frames/response-47-output-index-reversed.hex	460	3a414c9630db62845d4cd5e85484df00f1856061e4f919629a6bb2e9956baf02	response-04-base-two-outputs	replace	172	03000000	05000000
response-48-output-count-underflow	response	frames/response-48-output-count-underflow.hex	460	06653a3fd0028b17b289d986ed2af1a5d9cb9a0d896ecd0b626a9639bd238f37	response-04-base-two-outputs	replace	132	02000000	01000000
response-49-aggregate-output-mismatch	response	frames/response-49-aggregate-output-mismatch.hex	460	7461c89d6fa17b1de69d2cc60b7257a3726db8e4dc7662525f9300eef2a96d8b	response-04-base-two-outputs	replace	24	02000000	01000000
