case_id	frame_id	operation	expected_source_epoch_hex	expected_status	expected_error_code	canonical_reencode
request-30-candidate-reserved-decode	request-30-candidate-reserved	request-decode	-	error	3	no
request-31-previous-count-mismatch-decode	request-31-previous-count-mismatch	request-decode	-	error	3	no
request-body-truncated-decode	request-09a-body-truncated-canonical-length	request-decode	-	error	3	no
request-descriptor-non-ascii-decode	request-28b-descriptor-non-ascii	request-decode	-	error	3	no
request-descriptor-nul-decode	request-28a-descriptor-nul	request-decode	-	error	3	no
request-empty-decode	request-00-base-empty	request-decode	-	ok	0	yes
request-empty-prepare	request-00-base-empty	request-prepare	-	ok	0	no
request-empty-reencode	request-00-base-empty	request-reencode	-	ok	0	yes
request-nonempty-decode	request-01-base-nonempty	request-decode	-	ok	0	yes
request-nonempty-prepare	request-01-base-nonempty	request-prepare	-	ok	0	no
request-nonempty-reencode	request-01-base-nonempty	request-reencode	-	ok	0	yes
request-semantic-decode	request-02-base-semantic-reject	request-decode	-	ok	0	yes
request-semantic-prepare	request-02-base-semantic-reject	request-prepare	-	error	5	no
request-semantic-reencode	request-02-base-semantic-reject	request-reencode	-	ok	0	yes
response-00-base-empty-a-decode	response-00-base-empty-a	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-01-base-empty-b-decode	response-01-base-empty-b	response-decode	4242424242424242424242424242424242424242424242424242424242424242	ok	0	no
response-02-base-spend-only-decode	response-02-base-spend-only	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-03-base-one-output-decode	response-03-base-one-output	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-04-base-two-outputs-decode	response-04-base-two-outputs	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-05-base-three-inputs-decode	response-05-base-three-inputs	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-06-base-multi-asset-decode	response-06-base-multi-asset	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-07-order-byte31-step-one-decode	response-07-order-byte31-step-one	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-08-order-byte31-decode	response-08-order-byte31	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-09-order-interior-step-one-decode	response-09-order-interior-step-one	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-0a-order-interior-decode	response-0a-order-interior	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-10a-outer-length-mismatch-decode	response-10a-body-truncated	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-11-truncated-header-decode	response-11-truncated-header	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-12-wrong-magic-decode	response-12-wrong-magic	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	2	no
response-13-wrong-version-decode	response-13-wrong-version	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	2	no
response-14-wrong-header-length-decode	response-14-wrong-header-length	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	2	no
response-15-declared-length-mismatch-decode	response-15-declared-length-mismatch	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-16-flags-nonzero-decode	response-16-flags-nonzero	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-17-transaction-count-plus-one-decode	response-17-transaction-count-plus-one	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	4	no
response-18-output-count-plus-one-decode	response-18-output-count-plus-one	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	4	no
response-19-header-reserved-decode	response-19-header-reserved	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-20-zero-source-decode	response-20-zero-source	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-21-outer-length-mismatch-decode	response-21-trailing-byte	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-21-trailing-byte-decode	response-21a-trailing-byte-canonical-length	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-22-concatenated-decode	response-22a-concatenated-canonical-length	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-22-outer-length-mismatch-decode	response-22-concatenated	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-23-transaction-order-equal-decode	response-23-transaction-order-equal	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-24-transaction-order-reversed-decode	response-24-transaction-order-reversed	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-25-duplicate-input-first-decode	response-25-duplicate-input-first	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-26-duplicate-input-last-decode	response-26-duplicate-input-last	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-27-zero-transaction-id-decode	response-27-zero-transaction-id	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-28-zero-input-id-decode	response-28-zero-input-id	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-29-zero-input-count-decode	response-29-zero-input-count	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-30-input-index-maximum-decode	response-30-input-index-maximum	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-31-input-index-plus-one-decode	response-31-input-index-plus-one	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-32-output-index-maximum-decode	response-32-output-index-maximum	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-33-output-index-plus-one-decode	response-33-output-index-plus-one	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-34-derivation-maximum-decode	response-34-derivation-maximum	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-35-derivation-plus-one-decode	response-35-derivation-plus-one	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-36-value-maximum-decode	response-36-value-maximum	response-decode	4141414141414141414141414141414141414141414141414141414141414141	ok	0	no
response-37-value-zero-decode	response-37-value-zero	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-38-value-plus-one-decode	response-38-value-plus-one	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-39-unknown-branch-decode	response-39-unknown-branch	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-40-output-reserved-decode	response-40-output-reserved	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-41-invalid-spend-key-decode	response-41-invalid-spend-key	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-42-invalid-blinding-key-decode	response-42-invalid-blinding-key	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-43-wrong-script-length-decode	response-43-wrong-script-length	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-44-script-mismatch-decode	response-44-script-mismatch	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-45-asset-zero-decode	response-45-asset-zero	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-46-output-index-duplicate-decode	response-46-output-index-duplicate	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-47-output-index-reversed-decode	response-47-output-index-reversed	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-48-output-count-underflow-decode	response-48-output-count-underflow	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-49-aggregate-output-mismatch-decode	response-49-aggregate-output-mismatch	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-aggregate-count-source-precedence	response-18-output-count-plus-one	response-decode	4242424242424242424242424242424242424242424242424242424242424242	error	8	no
response-body-truncated-decode	response-10b-body-truncated-canonical-length	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-duplicate-input-source-precedence	response-25-duplicate-input-first	response-decode	4242424242424242424242424242424242424242424242424242424242424242	error	8	no
response-empty-a-mismatch	response-00-base-empty-a	response-decode	4242424242424242424242424242424242424242424242424242424242424242	error	8	no
response-empty-a-zero-expected	response-00-base-empty-a	response-decode	0000000000000000000000000000000000000000000000000000000000000000	error	1	no
response-empty-b-mismatch	response-01-base-empty-b	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	8	no
response-inside-magic-truncated-decode	response-10-inside-magic-truncated	response-decode	4141414141414141414141414141414141414141414141414141414141414141	error	3	no
response-invalid-key-source-precedence	response-41-invalid-spend-key	response-decode	4242424242424242424242424242424242424242424242424242424242424242	error	8	no
response-invalid-value-source-precedence	response-38-value-plus-one	response-decode	4242424242424242424242424242424242424242424242424242424242424242	error	8	no
response-script-source-precedence	response-44-script-mismatch	response-decode	4242424242424242424242424242424242424242424242424242424242424242	error	8	no
response-transaction-count-source-precedence	response-17-transaction-count-plus-one	response-decode	4242424242424242424242424242424242424242424242424242424242424242	error	8	no
response-truncated-before-source	response-11-truncated-header	response-decode	4242424242424242424242424242424242424242424242424242424242424242	error	3	no
response-truncated-zero-expected	response-11-truncated-header	response-decode	0000000000000000000000000000000000000000000000000000000000000000	error	1	no
response-wrong-magic-before-source	response-12-wrong-magic	response-decode	4242424242424242424242424242424242424242424242424242424242424242	error	2	no
response-wrong-magic-zero-expected	response-12-wrong-magic	response-decode	0000000000000000000000000000000000000000000000000000000000000000	error	1	no
response-zero-input-source-precedence	response-29-zero-input-count	response-decode	4242424242424242424242424242424242424242424242424242424242424242	error	8	no
response-zero-value-source-precedence	response-37-value-zero	response-decode	4242424242424242424242424242424242424242424242424242424242424242	error	8	no
