assertion_id	fixture_id	predicate	subject_index	expected_value	related_fixture_id
assertion-test-candidate-damaged-proof-output-witness-vector-lengths-0	test-candidate-damaged-proof	output-witness-vector-lengths	0	67,0	-
assertion-test-candidate-damaged-proof-same-txid-0	test-candidate-damaged-proof	same-txid	0	true	test-candidate-valid
assertion-test-candidate-explicit-flags-0	test-candidate-explicit	flags	0	0	-
assertion-test-candidate-explicit-input-count-0	test-candidate-explicit	input-count	0	1	-
assertion-test-candidate-explicit-input-previous-txid-0	test-candidate-explicit	input-previous-txid	0	e1cabb3bf384e4e40ef87a78f9eb329f65ae97b955da7dbcbf162293d21e251c	-
assertion-test-candidate-explicit-input-previous-vout-0	test-candidate-explicit	input-previous-vout	0	0	-
assertion-test-candidate-explicit-output-count-0	test-candidate-explicit	output-count	0	2	-
assertion-test-candidate-explicit-output-prefixes-0	test-candidate-explicit	output-prefixes	0	01,01,00	-
assertion-test-candidate-explicit-output-script-sha256-0	test-candidate-explicit	output-script-sha256	0	e0ad850821f9c4a6c60e064323c656b1323a2d3e79dec545da63fe64fb1afafe	-
assertion-test-candidate-shared-previous-valid-flags-0	test-candidate-shared-previous-valid	flags	0	1	-
assertion-test-candidate-shared-previous-valid-input-count-0	test-candidate-shared-previous-valid	input-count	0	2	-
assertion-test-candidate-shared-previous-valid-input-previous-txid-0	test-candidate-shared-previous-valid	input-previous-txid	0	2f3383531fb52dea5495f7e96aed8cef2d10e6ee25fcd8b7e381d78cdc07963e	-
assertion-test-candidate-shared-previous-valid-input-previous-txid-1	test-candidate-shared-previous-valid	input-previous-txid	1	2f3383531fb52dea5495f7e96aed8cef2d10e6ee25fcd8b7e381d78cdc07963e	-
assertion-test-candidate-shared-previous-valid-input-previous-vout-0	test-candidate-shared-previous-valid	input-previous-vout	0	0	-
assertion-test-candidate-shared-previous-valid-input-previous-vout-1	test-candidate-shared-previous-valid	input-previous-vout	1	1	-
assertion-test-candidate-shared-previous-valid-input-witness-vector-lengths-0	test-candidate-shared-previous-valid	input-witness-vector-lengths	0	0,0	-
assertion-test-candidate-shared-previous-valid-input-witness-vector-lengths-1	test-candidate-shared-previous-valid	input-witness-vector-lengths	1	0,0	-
assertion-test-candidate-shared-previous-valid-output-count-0	test-candidate-shared-previous-valid	output-count	0	2	-
assertion-test-candidate-shared-previous-valid-output-prefixes-0	test-candidate-shared-previous-valid	output-prefixes	0	0a,08,02	-
assertion-test-candidate-shared-previous-valid-output-script-sha256-0	test-candidate-shared-previous-valid	output-script-sha256	0	e0ad850821f9c4a6c60e064323c656b1323a2d3e79dec545da63fe64fb1afafe	-
assertion-test-candidate-shared-previous-valid-output-witness-vector-lengths-0	test-candidate-shared-previous-valid	output-witness-vector-lengths	0	99,4174	-
assertion-test-candidate-unowned-flags-0	test-candidate-unowned	flags	0	1	-
assertion-test-candidate-unowned-input-count-0	test-candidate-unowned	input-count	0	1	-
assertion-test-candidate-unowned-input-previous-txid-0	test-candidate-unowned	input-previous-txid	0	e1cabb3bf384e4e40ef87a78f9eb329f65ae97b955da7dbcbf162293d21e251c	-
assertion-test-candidate-unowned-input-previous-vout-0	test-candidate-unowned	input-previous-vout	0	0	-
assertion-test-candidate-unowned-input-witness-vector-lengths-0	test-candidate-unowned	input-witness-vector-lengths	0	0,0	-
assertion-test-candidate-unowned-output-count-0	test-candidate-unowned	output-count	0	2	-
assertion-test-candidate-unowned-output-prefixes-0	test-candidate-unowned	output-prefixes	0	0a,08,03	-
assertion-test-candidate-unowned-output-script-sha256-0	test-candidate-unowned	output-script-sha256	0	fe02e8e674c5b8962ad9ccafa0151e71b9026ece3840c399543d69aa30c88000	-
assertion-test-candidate-unowned-output-witness-vector-lengths-0	test-candidate-unowned	output-witness-vector-lengths	0	67,4174	-
assertion-test-candidate-valid-flags-0	test-candidate-valid	flags	0	1	-
assertion-test-candidate-valid-input-count-0	test-candidate-valid	input-count	0	1	-
assertion-test-candidate-valid-input-previous-txid-0	test-candidate-valid	input-previous-txid	0	e1cabb3bf384e4e40ef87a78f9eb329f65ae97b955da7dbcbf162293d21e251c	-
assertion-test-candidate-valid-input-previous-vout-0	test-candidate-valid	input-previous-vout	0	0	-
assertion-test-candidate-valid-input-witness-vector-lengths-0	test-candidate-valid	input-witness-vector-lengths	0	0,0	-
assertion-test-candidate-valid-output-count-0	test-candidate-valid	output-count	0	2	-
assertion-test-candidate-valid-output-prefixes-0	test-candidate-valid	output-prefixes	0	0a,08,02	-
assertion-test-candidate-valid-output-script-sha256-0	test-candidate-valid	output-script-sha256	0	e0ad850821f9c4a6c60e064323c656b1323a2d3e79dec545da63fe64fb1afafe	-
assertion-test-candidate-valid-output-witness-vector-lengths-0	test-candidate-valid	output-witness-vector-lengths	0	67,4174	-
assertion-test-previous-shared-valid-flags-0	test-previous-shared-valid	flags	0	0	-
assertion-test-previous-shared-valid-input-count-0	test-previous-shared-valid	input-count	0	0	-
assertion-test-previous-shared-valid-output-count-0	test-previous-shared-valid	output-count	0	2	-
assertion-test-previous-shared-valid-output-prefixes-0	test-previous-shared-valid	output-prefixes	0	01,01,00	-
assertion-test-previous-shared-valid-output-script-sha256-0	test-previous-shared-valid	output-script-sha256	0	4ae81572f06e1b88fd5ced7a1a000945432e83e1551e6f721ee9c00b8cc33260	-
assertion-test-previous-unrelated-different-txid-0	test-previous-unrelated	different-txid	0	true	test-previous-valid
assertion-test-previous-unrelated-flags-0	test-previous-unrelated	flags	0	0	-
assertion-test-previous-unrelated-input-count-0	test-previous-unrelated	input-count	0	0	-
assertion-test-previous-unrelated-output-count-0	test-previous-unrelated	output-count	0	1	-
assertion-test-previous-unrelated-output-prefixes-0	test-previous-unrelated	output-prefixes	0	01,01,00	-
assertion-test-previous-unrelated-output-script-sha256-0	test-previous-unrelated	output-script-sha256	0	4ae81572f06e1b88fd5ced7a1a000945432e83e1551e6f721ee9c00b8cc33260	-
assertion-test-previous-valid-flags-0	test-previous-valid	flags	0	0	-
assertion-test-previous-valid-input-count-0	test-previous-valid	input-count	0	0	-
assertion-test-previous-valid-output-count-0	test-previous-valid	output-count	0	1	-
assertion-test-previous-valid-output-prefixes-0	test-previous-valid	output-prefixes	0	01,01,00	-
assertion-test-previous-valid-output-script-sha256-0	test-previous-valid	output-script-sha256	0	4ae81572f06e1b88fd5ced7a1a000945432e83e1551e6f721ee9c00b8cc33260	-
assertion-test-previous-witness-variant-different-full-sha256-0	test-previous-witness-variant	different-full-sha256	0	true	test-previous-valid
assertion-test-previous-witness-variant-flags-0	test-previous-witness-variant	flags	0	1	-
assertion-test-previous-witness-variant-input-count-0	test-previous-witness-variant	input-count	0	0	-
assertion-test-previous-witness-variant-output-count-0	test-previous-witness-variant	output-count	0	1	-
assertion-test-previous-witness-variant-output-prefixes-0	test-previous-witness-variant	output-prefixes	0	01,01,00	-
assertion-test-previous-witness-variant-output-script-sha256-0	test-previous-witness-variant	output-script-sha256	0	4ae81572f06e1b88fd5ced7a1a000945432e83e1551e6f721ee9c00b8cc33260	-
assertion-test-previous-witness-variant-output-witness-vector-lengths-0	test-previous-witness-variant	output-witness-vector-lengths	0	0,4174	-
assertion-test-previous-witness-variant-same-txid-0	test-previous-witness-variant	same-txid	0	true	test-previous-valid
