source_model_id	partition	operation	execution_class	relative_path	decoded_length	decoded_sha256	expected_result	expected_error_code	precedence
model-boundary-output-index-minimum	boundary	decode	deterministic-generated	source-models/model-boundary-output-index-minimum.json	146	ea6eb71e5ae6b8b362a8bff993b75b4e7ae48b846915a260ec5fc003a7b3cef6	ok	0	boundary-formula
model-boundary-output-index-plus-one	boundary	decode	deterministic-generated	source-models/model-boundary-output-index-plus-one.json	234	635783502189a5a4e3554e2fda6fe80095edba0cd9371969b81334a88d05a460	error	4	boundary-formula
model-boundary-previous-transaction-bytes-maximum	boundary	decode	deterministic-generated	source-models/model-boundary-previous-transaction-bytes-maximum.json	152	33783d6cc055116c2210f3ec6e7ded8b68e1585eca5ebf46ec5a48c6831415b0	ok	0	boundary-formula
model-boundary-previous-transaction-bytes-minimum	boundary	decode	deterministic-generated	source-models/model-boundary-previous-transaction-bytes-minimum.json	146	e3a371596ee4f2840133dda438d98ea8e7eb40a01825001fcf1501f74775bcbe	ok	0	boundary-formula
model-boundary-previous-transaction-bytes-plus-one	boundary	decode	deterministic-generated	source-models/model-boundary-previous-transaction-bytes-plus-one.json	231	21cecd33376b2773433e1fd801b2a874faf6a4c602ae6f928e201b675b4c4401	error	4	boundary-formula
model-boundary-reachable-frame-maximum	boundary	checked-arithmetic	symbolic-only	source-models/model-boundary-reachable-frame-maximum.json	1441	4b2112a5db036bb3b5d9a6050b554a21fcff460031fb8b57dd4459886741ee9d	ok	0	boundary-formula
model-boundary-required-numeric-zero	boundary	decode	concrete-frame	source-models/model-boundary-required-numeric-zero.json	146	ea6eb71e5ae6b8b362a8bff993b75b4e7ae48b846915a260ec5fc003a7b3cef6	error	4	boundary-formula
model-boundary-row-previous-entries-maximum	boundary	decode	deterministic-generated	source-models/model-boundary-row-previous-entries-maximum.json	150	affff74b34b8a0a733620de0483dd95f242dd6dca7fa8a642613c5c15be96368	ok	0	boundary-formula
model-boundary-row-previous-entries-minimum	boundary	decode	deterministic-generated	source-models/model-boundary-row-previous-entries-minimum.json	146	ea6eb71e5ae6b8b362a8bff993b75b4e7ae48b846915a260ec5fc003a7b3cef6	ok	0	boundary-formula
model-boundary-row-previous-entries-plus-one	boundary	decode	deterministic-generated	source-models/model-boundary-row-previous-entries-plus-one.json	229	0f98787727fa22fd7732a3f6dc855b0106c96af6300a5d27e17f8c898b39aa35	error	4	boundary-formula
model-boundary-selected-inputs-maximum	boundary	decode	deterministic-generated	source-models/model-boundary-selected-inputs-maximum.json	148	6551c13f2b1b81e7ee33bbb72f753bd6a191d141c48b062197ee5a0bcd83fafd	ok	0	boundary-formula
model-boundary-selected-inputs-minimum	boundary	decode	deterministic-generated	source-models/model-boundary-selected-inputs-minimum.json	146	e3a371596ee4f2840133dda438d98ea8e7eb40a01825001fcf1501f74775bcbe	ok	0	boundary-formula
model-boundary-selected-inputs-plus-one	boundary	decode	deterministic-generated	source-models/model-boundary-selected-inputs-plus-one.json	227	a7047ed0d0015f2ee043ca28f5808731829ed0e823fc82ae35453c75f7b7253d	error	4	boundary-formula
model-boundary-selected-value-maximum	boundary	decode	deterministic-generated	source-models/model-boundary-selected-value-maximum.json	161	0483ff6baf6621454fd7c066dd8d7b22b98bbb1fe3d237c1ecafb0a6d08a870a	ok	0	boundary-formula
model-boundary-selected-value-minimum	boundary	decode	deterministic-generated	source-models/model-boundary-selected-value-minimum.json	146	e3a371596ee4f2840133dda438d98ea8e7eb40a01825001fcf1501f74775bcbe	ok	0	boundary-formula
model-boundary-selected-value-plus-one	boundary	decode	deterministic-generated	source-models/model-boundary-selected-value-plus-one.json	240	fe4b16b708b737fa15cb1ef438fd1778179b4df86b5c98eb48e588d369f71b65	error	4	boundary-formula
model-main-public	shared-encoder	encode	concrete-frame	source-models/model-main-public.json	125	1c4126f027be4d16a398800561da4d82899d2a9bf37c4149c7f35fdfcf32b1d3	ok	0	-
model-managed-batch-accepted	managed-funding-batch	funding-batch-create	symbolic-only	source-models/model-managed-batch-accepted.json	131	974a4a3a2c8e027fbb6e5965e2ce14b047c552f20126cf18f7a85180f544dbbb	ok	0	-
model-managed-batch-disposed-row	managed-funding-batch	funding-batch-create	symbolic-only	source-models/model-managed-batch-disposed-row.json	170	7af4e0bd16807792ee44fbb45d2074db6b8b4051ad5862884753918014f62b88	lifecycle	0	object-disposed
model-managed-batch-expanded-bytes-plus-one	managed-funding-batch	funding-batch-create	symbolic-only	source-models/model-managed-batch-expanded-bytes-plus-one.json	2269	dcf6063ad6517dfa4e7cc7a260fc76d21db7f399c1c12ac9610768b4e06c84fb	error	4	limit
model-managed-batch-expanded-count-plus-one	managed-funding-batch	funding-batch-create	symbolic-only	source-models/model-managed-batch-expanded-count-plus-one.json	431	72a396026b5ef926787e6ca4d62a75673d1398f969fa195220eb9b4e42eb1481	error	4	limit
model-managed-batch-null-before-disposed-row	managed-funding-batch	funding-batch-create	symbolic-only	source-models/model-managed-batch-null-before-disposed-row.json	300	6d7ed5a7b72a069e3e23596ab6e9b7f4a45a5da845e50c9bc2a0dfd9da4c01c9	error	1	null-before-lifecycle
model-managed-batch-null-plan	managed-funding-batch	funding-batch-create	symbolic-only	source-models/model-managed-batch-null-plan.json	168	b36151099180b2c7d10709726b9420bfd2c0795a1db267b054cf6adfe39efbbc	error	1	invalid-argument
model-managed-batch-null-row	managed-funding-batch	funding-batch-create	symbolic-only	source-models/model-managed-batch-null-row.json	171	57abe64acbfbc8c5f2baf969e112d2a24e01f2027ec39e946585cf7d2d66f3c0	error	1	invalid-argument
model-managed-batch-null-row-collection	managed-funding-batch	funding-batch-create	symbolic-only	source-models/model-managed-batch-null-row-collection.json	168	89882b4e1aab7d00c4a7fc7ead732d7e68267e03aedc45e3a7b6e479f7a9fd08	error	1	invalid-argument
model-managed-batch-plan-count-mismatch	managed-funding-batch	funding-batch-create	symbolic-only	source-models/model-managed-batch-plan-count-mismatch.json	219	5f2f0ed3e8960c2dd98f403f7a88e3981ca2a1a6e8279294caa63df28b0d4d00	error	1	invalid-argument
model-managed-encoder-accepted	managed-encoder	encode	symbolic-only	source-models/model-managed-encoder-accepted.json	130	001dcefe0cde8000488814155c47ff2d52bc5cbba8ed9beeb7e16bcac9517d72	ok	0	-
model-managed-encoder-bad-epoch-plan-batch-identity	managed-encoder	encode	symbolic-only	source-models/model-managed-encoder-bad-epoch-plan-batch-identity.json	291	9fc15cc19e10500f46beb1d4963cd528892f6d9acf2ec8c3baa7a03a6f999a1d	error	1	epoch-before-identity
model-managed-encoder-disposed-batch	managed-encoder	encode	symbolic-only	source-models/model-managed-encoder-disposed-batch.json	166	06d01630c6c01bbd50ca9c5c049232b3aa039e6bd042bab145f783ab8de4d66c	lifecycle	0	object-disposed
model-managed-encoder-disposed-batch-bad-epoch	managed-encoder	encode	symbolic-only	source-models/model-managed-encoder-disposed-batch-bad-epoch.json	266	ca8d4c048d883f98e0deee8217e2713edb3e83a92f747d8a0acd35ca964a633d	lifecycle	0	lifecycle-before-epoch
model-managed-encoder-epoch-length-long	managed-encoder	encode	symbolic-only	source-models/model-managed-encoder-epoch-length-long.json	229	59eaa5df069bb6c0764e9396da42cdf131adab844a33990cdcac3625b1d3b2e9	error	1	invalid-argument
model-managed-encoder-epoch-length-short	managed-encoder	encode	symbolic-only	source-models/model-managed-encoder-epoch-length-short.json	229	d5831cf46e731d95af2bdc6c1494af5dc2aa1b44fb4b242d0ef408631b727a08	error	1	invalid-argument
model-managed-encoder-null-batch	managed-encoder	encode	symbolic-only	source-models/model-managed-encoder-null-batch.json	167	31b9e1cb9da7d0c73dd0490367219f37fda87070acd72cd49aaa75a12d5cbfab	error	1	invalid-argument
model-managed-encoder-null-before-disposed-batch	managed-encoder	encode	symbolic-only	source-models/model-managed-encoder-null-before-disposed-batch.json	203	8acc39e2696376f8356d52e90bb51c3a8e75db5eaf358540c1a87a41f6291ad0	error	1	null-before-lifecycle
model-managed-encoder-null-plan	managed-encoder	encode	symbolic-only	source-models/model-managed-encoder-null-plan.json	166	c59a07001cc34d3f4d935ae041614dd160f1619adacace6cffdec4128658c9e5	error	1	invalid-argument
model-managed-encoder-plan-batch-identity	managed-encoder	encode	symbolic-only	source-models/model-managed-encoder-plan-batch-identity.json	191	f999c13a23910376cc34e4f835a4dfa59a99ba2b1721460d600fa6d13eff36d7	error	1	identity-after-epoch
model-managed-encoder-zero-epoch	managed-encoder	encode	symbolic-only	source-models/model-managed-encoder-zero-epoch.json	229	9cc3422bdaea56d0f84793423068da32c1bd620db902a285d1a3e3d94607db18	error	1	invalid-argument
model-managed-row-candidate-plus-one	managed-funding-row	funding-row-create	symbolic-only	source-models/model-managed-row-candidate-plus-one.json	248	743ed017c29542e11512a80155c4863287f504630610de4c0d09b65d5c64fb11	error	4	limit
model-managed-row-combined-null-before-length	managed-funding-row	funding-row-create	symbolic-only	source-models/model-managed-row-combined-null-before-length.json	307	ade6ec08fe59b86e64ee3798511bde7ee337638e50fe2e71ed9e3a2d9d406e8c	error	1	null-before-limit
model-managed-row-combined-null-before-order	managed-funding-row	funding-row-create	symbolic-only	source-models/model-managed-row-combined-null-before-order.json	307	21110566fe795b5f7aad0943d28ce77f9fa5cc87dedf5b6eae1aec4258154e85	error	1	null-before-encoding
model-managed-row-empty-candidate	managed-funding-row	funding-row-create	symbolic-only	source-models/model-managed-row-empty-candidate.json	242	b058d1e785b44667cc87a7e7eb5ac381e8f01abbf752ae0cd0e7ca80dd44ca16	error	4	limit
model-managed-row-empty-previous	managed-funding-row	funding-row-create	symbolic-only	source-models/model-managed-row-empty-previous.json	189	722be9618d03e866d983cf53eb709354ed7b420d71f6f7698b782bace3683d4c	ok	0	-
model-managed-row-empty-previous-payload	managed-funding-row	funding-row-create	symbolic-only	source-models/model-managed-row-empty-previous-payload.json	244	01e34eca3702e96bae0fe75f5627de8807e874fa190a8b446cfe06ef9feff28b	error	4	limit
model-managed-row-null-candidate	managed-funding-row	funding-row-create	symbolic-only	source-models/model-managed-row-null-candidate.json	188	4bce9e41b25534e0d184850168f50957323f065016232bd386e56cd4fa64b4c4	error	1	invalid-argument
model-managed-row-null-previous-collection	managed-funding-row	funding-row-create	symbolic-only	source-models/model-managed-row-null-previous-collection.json	187	b03ff47829d4b815f43ddbe30ab209e9c170a713ed1712520a7043230ccf3c9e	error	1	invalid-argument
model-managed-row-null-previous-element	managed-funding-row	funding-row-create	symbolic-only	source-models/model-managed-row-null-previous-element.json	190	0c05f44e2b36b3fbb4006484e3f3d59f21005852933c080dc97aa0f549f84fee	error	1	invalid-argument
model-managed-row-previous-duplicate	managed-funding-row	funding-row-create	symbolic-only	source-models/model-managed-row-previous-duplicate.json	262	12ffcd5e129c34e99669ca6696b1e16b72947a5869eaf18a7bb744352da20249	error	3	encoding
model-managed-row-previous-out-of-order	managed-funding-row	funding-row-create	symbolic-only	source-models/model-managed-row-previous-out-of-order.json	266	2d1456b93f8d1f570ea1eeae6c25b5095b17a90f1f30d7123654f8d5b316ff75	error	3	encoding
model-managed-row-previous-plus-one	managed-funding-row	funding-row-create	symbolic-only	source-models/model-managed-row-previous-plus-one.json	266	a11eb50f535b646a55cbfae383eab86751f386c10193c2735264c0610d038b1b	error	4	limit
model-multiasset	shared-encoder	encode	concrete-frame	source-models/model-multiasset.json	127	46c3deea78ae446800e92a6e70a5083645e40886a2d04b12a83ca248ad7bf7e0	ok	0	-
model-native-encode-address-length-plus-one	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-address-length-plus-one.json	239	a3008c6af2462adc1423d1fe1a7a32bdbaf7c3c3d89e43161ed034bd3464031b	error	4	frozen-order
model-native-encode-address-length-zero	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-address-length-zero.json	237	94c4fc9d6c66e1a140bdfb91009cde8e85bba49ee0ac32a00a5cc7449b32112e	error	4	frozen-order
model-native-encode-aggregate-bytes-plus-one	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-aggregate-bytes-plus-one.json	937	67e6107dd281bab78343343c6488bc26a93939286be7b4cde3c4e70341ac4b8a	error	4	frozen-order
model-native-encode-aggregate-count-plus-one	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-aggregate-count-plus-one.json	492	6fcd106fa71905377caac57497d8481b7f6f99e983a26613f931936047695575	error	4	frozen-order
model-native-encode-conservation-asset	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-conservation-asset.json	236	29711b5f525cd9a223d5d8b7db6b0563b36604a4c06e1c5454d225e28de4d249	error	7	frozen-order
model-native-encode-conservation-value	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-conservation-value.json	190	06fd5f8a5d32cd88cd64ac705248959914815677659f3d50f8a9e0cf101cb094	error	7	frozen-order
model-native-encode-destination-count-plus-one	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-destination-count-plus-one.json	233	9a5a7c1b6c270a53477459b0a15870b87bf7f2f4465c96a14a40b6f83aa2a921	error	4	frozen-order
model-native-encode-destination-count-zero	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-destination-count-zero.json	174	7c6f4dd0153377863485faa862f59a263f56a4ca364491659ef2003679b931b2	error	4	frozen-order
model-native-encode-malformed-address	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-malformed-address.json	238	7a2252d3fbef7425add4f9a8a566faa3d875c1e8e859cbcd240cd53da22004c9	error	7	frozen-order
model-native-encode-non-ascii-address	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-non-ascii-address.json	238	6a558c38b73e6c4f98db5da13de120c113654b40cd883c0f8cfb3cb44912e9d7	error	3	frozen-order
model-native-encode-noncanonical-address	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-noncanonical-address.json	424	0cf48f8af08bb67a5f934687efc55995d51149469a3e74d25db6f38afae94534	error	7	frozen-order
model-native-encode-nonconfidential-address	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-nonconfidential-address.json	306	f0007f30e3f89a0ba18d269f739a42c0e025766a00f25ee6d6ecc8b82e7423c7	error	7	frozen-order
model-native-encode-numeric-ordering	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-numeric-ordering.json	286	ecbf6b0a93c94aa9ef253c72aafe22f215fc971975205bc64207577f427de148	error	4	frozen-order
model-native-encode-ordering-unknown-context	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-ordering-unknown-context.json	323	463bfb2685f90953120d666067ab440d7de9871d3705a389a321c8a1ba4b681b	error	3	frozen-order
model-native-encode-output-index-plus-one	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-output-index-plus-one.json	194	b473484a87c321ef45a1e3ac6937dbd64f64b6d04aad6cd981bb0c9a71ac315d	error	4	frozen-order
model-native-encode-previous-out-of-order	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-previous-out-of-order.json	259	f930fe4cf8f525809114f055d4fed21445b97bd9e0bf9b40fa3c42d700f24360	error	3	frozen-order
model-native-encode-selected-count-plus-one	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-selected-count-plus-one.json	226	e4262643af98fc15baf2986232763b04d22f4085136bb2f79d8ed20d174f6dc7	error	4	frozen-order
model-native-encode-selected-count-zero	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-selected-count-zero.json	170	328e86ae04a9c219a896cf7cb4b54600d4ade16115d0644af4e83fca71819719	error	4	frozen-order
model-native-encode-selected-duplicate	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-selected-duplicate.json	224	201e36b899a565029b75ccd5ff1439e752ba53b5f25abb26f2de7b9f95e5553d	error	3	frozen-order
model-native-encode-transaction-length-plus-one	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-transaction-length-plus-one.json	241	db4955971cd13f6009d9a5dd97827edb1ea29b782f3113df68ee4ea8051195de	error	4	frozen-order
model-native-encode-transaction-length-zero	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-transaction-length-zero.json	235	40127140b618e81c9ef4245af61707b5504804f8376c4ce36954a9635b319624	error	4	frozen-order
model-native-encode-unknown-context-bad-address	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-unknown-context-bad-address.json	337	7bbae6cb8a2bc45852466657eea4a7e7d53e2726b5fe149fc716b91cc64a88e7	error	6	frozen-order
model-native-encode-unknown-manifest	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-unknown-manifest.json	223	c0ae84a766de0aae13553cf839a86599e2b6a157ea09c04540a528d9657654f2	error	6	frozen-order
model-native-encode-value-plus-one	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-value-plus-one.json	201	16e68a2b2bd839b95e84010c66005c5f2fee7a725a62b9274aecf890937fd751	error	4	frozen-order
model-native-encode-value-zero	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-value-zero.json	186	53605b66e5f42e625eee14da2528c88d749de2bf3240827303025f9f0afecce9	error	4	frozen-order
model-native-encode-wrong-pegged-asset	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-wrong-pegged-asset.json	227	dcf0e4d588affa77626e5d134ff90177f17a65f24ab44e12a5dd2f3be742d87e	error	6	frozen-order
model-native-encode-wrong-profile-address	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-wrong-profile-address.json	422	4fce859d02d886aec3b1d2f8de16ca02480585df3830425e6a88d4f3110bc5af	error	7	frozen-order
model-native-encode-zero-destination-asset	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-zero-destination-asset.json	236	c43426a46b174f985f305f962232905dd80ef6cb81b21f5c6b90813f59f6c65e	error	3	frozen-order
model-native-encode-zero-epoch	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-zero-epoch.json	227	caee081bbd0153e158c95f0d378d1e7d9b5cf5f04dcca57ab587ace76c5c0890	error	1	frozen-order
model-native-encode-zero-epoch-numeric	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-zero-epoch-numeric.json	289	f1902c16ad9d90ea69e042a567536e3ee6917f7dd5766ddcf3cf64c1958ec899	error	1	frozen-order
model-native-encode-zero-manifest	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-zero-manifest.json	223	570f082e764fe30f3df6eb9f7dceab2910780e9041b64704e14155ff4f660639	error	3	frozen-order
model-native-encode-zero-pegged-asset	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-zero-pegged-asset.json	227	e38b8567d457762a9ecb78ee6fac2e38eece96cfa1b313a3f2b2fa7e7a913566	error	3	frozen-order
model-native-encode-zero-selected-asset	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-zero-selected-asset.json	232	f35de43cc281a5d7008997847357b2f53519f2c805cc970013783921a6eef6c8	error	3	frozen-order
model-native-encode-zero-selected-txid	native-raw-encoder	encode	symbolic-only	source-models/model-native-encode-zero-selected-txid.json	231	745c35fdece8be309c1fdb69c6d78f856a3c8870105f7cb587ff2a416e9f2ff4	error	3	frozen-order
model-outer-before-discriminator	native-decoder	decode	deterministic-generated	source-models/model-outer-before-discriminator.json	175	28772dc2caa8d48b3eddce4bf12e55cfa733b2344663e8485a30306fee2c46f0	error	4	outer-before-discriminator
model-repeated-candidate	shared-encoder	encode	concrete-frame	source-models/model-repeated-candidate.json	135	017e6aef7054a83374d020d213152b60c42fca3479f787649bb6ea158455ba4e	ok	0	-
model-selected-and-previous-order	shared-encoder	encode	concrete-frame	source-models/model-selected-and-previous-order.json	124	9e01b9e415937460c01a443d289a8bc124a30a850a7219d08694d277a03db6a2	ok	0	-
model-test-public	shared-encoder	encode	concrete-frame	source-models/model-test-public.json	125	92393ff841ed46f47ab5ca56cef2012f9570b7ffccc6c59dd062e155ba4ffa02	ok	0	-
model-test-shared-previous	shared-encoder	encode	concrete-frame	source-models/model-test-shared-previous.json	134	00c40677c66461cb7eabf1c7f73d839c128b57594717b574b268efcdd31b8f55	ok	0	-
model-toy-empty-previous	shared-encoder	encode	concrete-frame	source-models/model-toy-empty-previous.json	123	3b8eee013b844883dd6e3b913187f325bedbf506caa956372a9c2a16b91783bb	ok	0	-
model-zero-epoch	shared-encoder	encode	symbolic-only	source-models/model-zero-epoch.json	225	e9b291bbc16a3bdbad3b42e5bff5b15ffe57cd206042470e9fc90c6d343db2fb	error	1	invalid-argument
