mutation_id	parent_frame_id	child_frame_id	mutation_kind	target	offset	old_hex	new_hex
mutation-frame-header-reserved-nonzero	frame-test-toy-single	frame-header-reserved-nonzero	replace	bytes	20	00000000	01000000
mutation-frame-main-wrong-pegged-asset	frame-main-public-valid	frame-main-wrong-pegged-asset	logical-repack	header.pegged	-	-	-
mutation-frame-main-wrong-profile-address	frame-main-public-valid	frame-main-wrong-profile-address	logical-repack	destination.0.address	-	-	-
mutation-frame-malformed-address	frame-test-public-valid	frame-malformed-address	logical-repack	destination.0.address	-	-	-
mutation-frame-missing-previous	frame-test-public-valid	frame-missing-previous	logical-repack	selected.0.previous	-	-	-
mutation-frame-noncanonical-address	frame-test-public-valid	frame-noncanonical-address	logical-repack	destination.0.address	-	-	-
mutation-frame-nonconfidential-address	frame-test-public-valid	frame-nonconfidential-address	logical-repack	destination.0.address	-	-	-
mutation-frame-output-index-mismatch	frame-test-public-valid	frame-output-index-mismatch	logical-repack	selected.0.output-index	-	-	-
mutation-frame-previous-count-plus-one	frame-test-toy-single	frame-previous-count-plus-one	replace	bytes	232	00000000	01400000
mutation-frame-previous-duplicate	frame-test-toy-ordered	frame-previous-duplicate	logical-repack	selected.0.previous	-	-	-
mutation-frame-previous-length-plus-one	frame-test-toy-ordered	frame-previous-length-plus-one	replace	bytes	241	01000000	01004000
mutation-frame-previous-length-zero	frame-test-toy-ordered	frame-previous-length-zero	replace	bytes	241	01000000	00000000
mutation-frame-previous-out-of-order	frame-test-toy-ordered	frame-previous-out-of-order	logical-repack	selected.0.previous	-	-	-
mutation-frame-public-output-shape	frame-test-public-valid	frame-public-output-shape	logical-repack	selected.0.candidate-and-txid	-	-	-
mutation-frame-selected-count-plus-one	frame-test-toy-single	frame-selected-count-plus-one	replace	bytes	128	01000000	65000000
mutation-frame-selected-count-zero	frame-test-toy-single	frame-selected-count-zero	replace	bytes	128	01000000	00000000
mutation-frame-selected-duplicate	frame-test-toy-ordered	frame-selected-duplicate	logical-repack	selected.1.txid	-	-	-
mutation-frame-selected-index-plus-one	frame-test-toy-single	frame-selected-index-plus-one	replace	bytes	184	00000000	00000040
mutation-frame-selected-out-of-order	frame-test-toy-ordered	frame-selected-out-of-order	logical-repack	selected.order	-	-	-
mutation-frame-selected-reserved	frame-test-toy-single	frame-selected-reserved	replace	bytes	236	00000000	01000000
mutation-frame-selected-value-plus-one	frame-test-toy-single	frame-selected-value-plus-one	replace	bytes	220	0a00000000000000	0140075af0750700
mutation-frame-selected-value-zero	frame-test-toy-single	frame-selected-value-zero	replace	bytes	220	0a00000000000000	0000000000000000
mutation-frame-short-seven	frame-test-toy-single	frame-short-seven	truncate	bytes	7	008701000000000000000000000000000041414141414141414141414141414141414141414141414141414141414141410700000000000000e4e7ec03e19ce5f83fd04c586788b724d88052b65ef2480cc93bcd50324f6b20499a818545f6bae39fc03b637f2a4e1e64e590cac1bc3a6f6d71aa4443654c14010000000100000000000000000000000100000000000000313131313131313131313131313131313131313131313131313131313131313100000000499a818545f6bae39fc03b637f2a4e1e64e590cac1bc3a6f6d71aa4443654c140a0000000000000001000000000000000000000001499a818545f6bae39fc03b637f2a4e1e64e590cac1bc3a6f6d71aa4443654c1409000000000000006600000000000000746c713171717433746c657768387172746e33686a3036676d3075787375666371616a6361356a343733746c30387330716e657a7a6c3965676c356d723635757461676678676c6d70636336746d3461386a387438647067776a3977676a746e796673347836	-
mutation-frame-tail-reserved-nonzero	frame-test-toy-single	frame-tail-reserved-nonzero	replace	bytes	140	00000000	01000000
mutation-frame-trailing-byte	frame-test-toy-single	frame-trailing-byte	append	bytes	391	-	00
mutation-frame-trailing-byte-rebound	frame-trailing-byte	frame-trailing-byte-rebound	replace	bytes	8	8701000000000000	8801000000000000
mutation-frame-truncated-body	frame-test-toy-single	frame-truncated-body	truncate	bytes	390	36	-
mutation-frame-truncated-header	frame-test-toy-single	frame-truncated-header	truncate	bytes	151	00313131313131313131313131313131313131313131313131313131313131313100000000499a818545f6bae39fc03b637f2a4e1e64e590cac1bc3a6f6d71aa4443654c140a0000000000000001000000000000000000000001499a818545f6bae39fc03b637f2a4e1e64e590cac1bc3a6f6d71aa4443654c1409000000000000006600000000000000746c713171717433746c657768387172746e33686a3036676d3075787375666371616a6361356a343733746c30387330716e657a7a6c3965676c356d723635757461676678676c6d70636336746d3461386a387438647067776a3977676a746e796673347836	-
mutation-frame-unknown-manifest	frame-test-public-valid	frame-unknown-manifest	logical-repack	header.manifest	-	-	-
mutation-frame-wrong-header-length	frame-test-toy-single	frame-wrong-header-length	replace	bytes	6	9800	9700
mutation-frame-wrong-magic	frame-test-toy-single	frame-wrong-magic	replace	bytes	0	574c5051	584c5051
mutation-frame-wrong-pegged-asset	frame-test-public-valid	frame-wrong-pegged-asset	logical-repack	header.pegged	-	-	-
mutation-frame-wrong-profile-address	frame-test-public-valid	frame-wrong-profile-address	logical-repack	destination.0.address	-	-	-
mutation-frame-wrong-version	frame-test-toy-single	frame-wrong-version	replace	bytes	4	0100	0200
mutation-frame-zero-manifest	frame-test-toy-single	frame-zero-manifest	replace	bytes	64	e4e7ec03e19ce5f83fd04c586788b724d88052b65ef2480cc93bcd50324f6b20	0000000000000000000000000000000000000000000000000000000000000000
mutation-frame-zero-pegged-asset	frame-test-toy-single	frame-zero-pegged-asset	replace	bytes	96	499a818545f6bae39fc03b637f2a4e1e64e590cac1bc3a6f6d71aa4443654c14	0000000000000000000000000000000000000000000000000000000000000000
mutation-frame-zero-selected-asset	frame-test-toy-single	frame-zero-selected-asset	replace	bytes	188	499a818545f6bae39fc03b637f2a4e1e64e590cac1bc3a6f6d71aa4443654c14	0000000000000000000000000000000000000000000000000000000000000000
mutation-frame-zero-selected-txid	frame-test-toy-single	frame-zero-selected-txid	replace	bytes	152	3131313131313131313131313131313131313131313131313131313131313131	0000000000000000000000000000000000000000000000000000000000000000
mutation-frame-zero-source	frame-test-toy-single	frame-zero-source	replace	bytes	24	4141414141414141414141414141414141414141414141414141414141414141	0000000000000000000000000000000000000000000000000000000000000000
