case_id	partition	operation	implementation	execution_class	frame_id	source_model_id	expected_source_epoch_hex	catalog_fixture_id	expected_result	expected_error_code	expected_reencode_frame_id	combined_precedence	coverage_tags	input_identity_sha256	expected_output_sha256	case_binding_sha256
decode-candidate-noncanonical	native-decoder	decode	native	concrete-frame	frame-candidate-noncanonical	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	23286a20d4317559efb133823ee5ef85bd518d50607a928467a423154e439186	-	6dc9992e1a0f7342f089377e38bffe6e9dc27302e9c30adfb8191e48033b76cc
decode-combined-body-limit	native-decoder	decode	native	concrete-frame	frame-combined-body-limit	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	a9ee16d5bb64a3e1c87873ae9913a11c1babb8d9278a8dbae7dc4e28f0648d9c	-	627840eee92f0010d95854525e49a6d47e5cf5aa4e72a65d47058848fc54e5a2
decode-combined-context-plan-funding	native-decoder	decode	native	concrete-frame	frame-combined-context-plan-funding	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	eee7480a4d1fb47b7985146228f8dc22bf6e61af79b9338f3b161358cb2877ca	-	c5a9220d1a2ae15e5060973ff37b8a8c60498913a5484eaa54fb0661bfaafa6a
decode-combined-non-ascii-value	native-decoder	decode	native	concrete-frame	frame-combined-non-ascii-value	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	82d4a9887db532994697e640c47a019a7c9b319d7b8d494cbe70bc1530b89071	-	fef4482ecb3b4015e2bfcd9543442dda6fbd7c02636a67cdde754490987db4b7
decode-combined-numeric-structural	native-decoder	decode	native	concrete-frame	frame-combined-numeric-structural	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	8466113ee4fa79661c25596820f4b46553f2dfc0390237c477501856d333c686	-	082e0f705ee00fcf4fd67db19907b402fa45eed86f81dc93def19f2036fb3285
decode-combined-plan-funding	native-decoder	decode	native	concrete-frame	frame-combined-plan-funding	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	ed3942f82fc08ec160cc4fff34ee80ff4be663ceea78b7fd2388eee56281af8e	-	e34816292e95920f123ed69f9d2b11365ecf3961ea600e0ca2525c10b3f9e816
decode-combined-previous-order-value	native-decoder	decode	native	concrete-frame	frame-combined-previous-order-value	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	d1452f63ce2fe69f3155c0a496f8c2008e427fe0a0c7cea50825cfcbd2165b93	-	a1856dadd3b41f86c811d43fc84f31ebf82d50f6f1bec1abc7bd853107b86e65
decode-combined-selected-order-value	native-decoder	decode	native	concrete-frame	frame-combined-selected-order-value	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	8e070ff26e78e56b8644c759b7576702c759b45c9359157f04f7c2321626ba98	-	3cb3b993c223dd5e5bf00072ef9f3ad76efa8a7395ce3ec470098c2a822dd7ac
decode-combined-short-zero-expected	native-decoder	decode	native	concrete-frame	frame-combined-short-zero-expected	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	7847d2fd4602585e0146fa0dc3a74d7f3531a13d71a3c852c906e7bfec584042	-	9e22e45002f6cbb805f7b22ed75bbdcfc1096205bc84ec282be1de91873f2d6c
decode-combined-structural-context	native-decoder	decode	native	concrete-frame	frame-combined-structural-context	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	d42495d623bf56b3b1c87ffea6bd6d498aa30f0334faea95bf8aee959841b1ce	-	4bbd09ae1bc2a745e4b187dd66109a8d9f2d570c4d33069a3c198f022da1bd1e
decode-combined-version-source	native-decoder	decode	native	concrete-frame	frame-combined-version-source	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	2	-	frozen-order	structural	53483fe4ef3b0ac6feb2e113a3b24540d58d618555fb9004452eaa9c2db2a644	-	2929f197ed2f40bd95e765014c1d7144757bf44b24097b7edd74f99a5d2205a6
decode-combined-zero-asset-value	native-decoder	decode	native	concrete-frame	frame-combined-zero-asset-value	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	45f46a4ce4deddb0d9c2794fe857bd775ea3a4b9b271a63d5ce911606a4a1c26	-	e83420751814c3d5b09b05c0f02f00738a0e5ff2f072750d8251ff7531e26f26
decode-combined-zero-txid-value	native-decoder	decode	native	concrete-frame	frame-combined-zero-txid-value	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	a475a3e78195980e5cf20294c3c8387682fc5253d386c1fdfbb59d2ba240111b	-	becf6569aee331b992bb0a219dd18bb51ddbdc6ca476c9f3f25fc19d7d40ad42
decode-concatenated	native-decoder	decode	native	concrete-frame	frame-concatenated	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	861b25e81e74dcb877a7a9091d2ea3b0928a92c84fa209441203c324ab86edb1	-	156460c5f43a4d5475664c5d3dde32fa86465a69f1ba55d13b9181ecf1eb7133
decode-concatenated-rebound	native-decoder	decode	native	concrete-frame	frame-concatenated-rebound	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	e33635d9082bd050e8b4f9fea29ccb27b6d5d366239d1a55b1a315a52d9453f5	-	477b2bdbb97de3cea1b5dce6e92f82cf810bb1ec84977ca567b61ac90b812aec
decode-conservation-asset-mismatch	native-decoder	decode	native	concrete-frame	frame-conservation-asset-mismatch	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	5ed2f57cb5173aa8ceb96bdbc2131a8ab116e16f689b09013e6c3743453f2522	-	2c22ad57e2ad1a3bacf5515497d73e1d6f1135b1a39caae50299f76b1eb3a809
decode-conservation-value-mismatch	native-decoder	decode	native	concrete-frame	frame-conservation-value-mismatch	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	185c5a0566ecd385eaf4003db38e6031c1563edee62252a6c24c5b7e8cef496e	-	4cda94128ea0bb85c969fd23571b6fa3411f370a84ec4419f2e0f2662ece6aab
decode-declared-length-over	native-decoder	decode	native	concrete-frame	frame-declared-length-over	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	2b7c9edbabafce0225bd9b8e401c757631fedd112470f2e71d55b74f369b4cd7	-	ba900dcfcf34c5de389c033fa8c4b1ee0aa051304119d64900c7bd166f1561f3
decode-declared-length-under	native-decoder	decode	native	concrete-frame	frame-declared-length-under	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	cea5b62d3897650e60194974747c601d2ad42077fae6743e7964a95e26763620	-	f8ac6519832b0645d5004571f9bebd70e45945a75a1b082307569bd0687dd76c
decode-descriptor-nonownership	native-decoder	decode	native	concrete-frame	frame-descriptor-nonownership	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	468f0acc27ee642a93115792836ddaba3a74fdceea5acc9d6040d06646c76772	-	963e7e31df92796191a3d15d970b51f5d592a0873177669088a6449f45a92c59
decode-destination-count-plus-one	native-decoder	decode	native	concrete-frame	frame-destination-count-plus-one	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	656e5da6b9bbf8b0075a3d2570c873f3cf3f8b03225dd8a00c37eb48341b7c9f	-	6d2292c7a07a7f77a906371372bdf65ef5952fb8cde766bf02b4ac4392ebb482
decode-destination-count-zero	native-decoder	decode	native	concrete-frame	frame-destination-count-zero	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	2efd5f93e826750505025461983b4918f4183a3f852969c36c11e7881216562a	-	d1c80c8226a58c852ea4f9b7814b67a8e9dc62d9e87905b0f924b0a90241276f
decode-destination-reserved	native-decoder	decode	native	concrete-frame	frame-destination-reserved	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	a8c5c1d16b0340c6b65a03232a72d8c76d56d356f2d98f1741e566a319e058cf	-	8eb0b06cb07213bc2a8c1bff5dbb8e9b4a4589fbcb452ec7355c57f50a16b00f
decode-destination-value-plus-one	native-decoder	decode	native	concrete-frame	frame-destination-value-plus-one	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	bce4f493a846dcb5c865bf053a539104ad34fc3c7fcd880584521ad5a5d8884b	-	cb4f58f5fc6eea3f63122f6568cf0ea44060963a0fa88e1a38f21918d16f0020
decode-destination-value-zero	native-decoder	decode	native	concrete-frame	frame-destination-value-zero	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	fe882706ddf40c0d7abc7268719239c9184383e95022350ba1f6ede768ae5d15	-	0a5df5c349f4a8b0029b3d11fc8e5fe96060938888280e180bf0e5eeb34551a9
decode-duplicate-previous-identity	native-decoder	decode	native	concrete-frame	frame-duplicate-previous-identity	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	7f965586cbb487d5d4b9970bd83c6e8cf42291f83d830802124042dbc1bd87a8	-	aa9cec1f5daf7798775f0ac342a59adefc6f050b8857fe6f139476a29180162a
decode-extra-previous	native-decoder	decode	native	concrete-frame	frame-extra-previous	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	b6ebbae1a2d001309863967b1f200d9dd7b974eb0a9c38e9e15a434d9a031a0c	-	ae472df38ba4d8264e616782ed44c2241696c79677f290be6aeb936ce2a1f5f9
decode-fee-plus-one	native-decoder	decode	native	concrete-frame	frame-fee-plus-one	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	39f060fd6fc51cb8232d745dfa8c375dd81164735c8cbf403b8d99d817f712c2	-	3043e4b7446dc6a49c338ffb426a738991053857d69262127d3bd6661c88786d
decode-fee-zero	native-decoder	decode	native	concrete-frame	frame-fee-zero	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	0a08d4183aa2a0f77721efaf42984c9b256d26c44bdd7bed510b9d1de85a28ad	-	54be08e49f94b41a721cf54aa8f1fc5dbf8fdf31622e5d3eed908ab5b60edaaa
decode-fixed-header-before-source	native-decoder	decode	native	concrete-frame	frame-header-reserved-nonzero	-	4242424242424242424242424242424242424242424242424242424242424242	-	error	3	-	fixed-header-before-source	combined-defect	f56a1ac7fa1e64b0e73125e0fa0f7c5c3a5aabddb81c5da11129037db3e94646	-	d53c2086a3ff5ce74676569298ed4292c4f2daac20c38625270a11629e0dd242
decode-flags-nonzero	native-decoder	decode	native	concrete-frame	frame-flags-nonzero	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	fe6a2508bd406f70fd744712f14af0fcb87d7da953b5d4f8036d40b9b5921799	-	b0ddbc426b77a27e52c865886792c387d35dee40a47b53fa3d7c40b1f1971152
decode-header-reserved-nonzero	native-decoder	decode	native	concrete-frame	frame-header-reserved-nonzero	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	f56a1ac7fa1e64b0e73125e0fa0f7c5c3a5aabddb81c5da11129037db3e94646	-	3e3b8381c6ec04c4d150ff30aa832c4f8bddef1e7451aea4a8e492576cc16a09
decode-invalid-argument-before-malformed	native-decoder	decode	native	concrete-frame	frame-combined-short-zero-expected	-	0000000000000000000000000000000000000000000000000000000000000000	-	error	1	-	invalid-argument-before-malformed	combined-defect	7847d2fd4602585e0146fa0dc3a74d7f3531a13d71a3c852c906e7bfec584042	-	fa330d635351982183840f5df489fd61746a767ab53e6874a8997529a766b5e2
decode-main-public-valid	native-decoder	decode	native	concrete-frame	frame-main-public-valid	-	4242424242424242424242424242424242424242424242424242424242424242	-	ok	0	-	-	structural-success	f7ed1810999280fc7914bf15538a5292d5511964692b1504929e7cfc65b7be6c	-	a39bd7de1d8a18b8b5629b8eb240fba92e449aa62b5e1dc7ed337f8f13eac838
decode-main-wrong-pegged-asset	native-decoder	decode	native	concrete-frame	frame-main-wrong-pegged-asset	-	4242424242424242424242424242424242424242424242424242424242424242	-	ok	0	-	frozen-order	structural	229460f395c662898ad4d6c950e167cb25d87870f693174832f9cba5fdd7b780	-	21e4d210ad01b488b4e56d506a6e2f1d27a95bdfe19374f8519784a16b918b60
decode-main-wrong-profile-address	native-decoder	decode	native	concrete-frame	frame-main-wrong-profile-address	-	4242424242424242424242424242424242424242424242424242424242424242	-	ok	0	-	frozen-order	structural	4b133d3f52724b827b0aa195b8d0274923842cb7e15f0c3a62a4b6b5ad6bb4ba	-	265379ea700c0b66b1494217ca7076275bb586fefd08a491fd20a4214c87e61a
decode-malformed-address	native-decoder	decode	native	concrete-frame	frame-malformed-address	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	391714b40a4f01c512d27f954e6dd3ef1678c55ab6e42ddb54ef73fdec80c442	-	fdd75e1fb9e9cc01922a00353616e13f096c00b2ad391b6086df839593df8dee
decode-missing-previous	native-decoder	decode	native	concrete-frame	frame-missing-previous	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	06a522c6952f93fb0014715fa0adbe70e27083f15e8eca299736314f4f2fe31e	-	264425ab1e5fc6f07653b9039e6d7c705f5ad8e4611fc4fa2005bf9ec874bfc4
decode-non-ascii-before-numeric	native-decoder	decode	native	concrete-frame	frame-combined-non-ascii-value	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	numeric-before-structural	combined-defect	82d4a9887db532994697e640c47a019a7c9b319d7b8d494cbe70bc1530b89071	-	181b1efc1208fe7746b13298b59c522bbb726400ac115365a7b20e8e93c0be82
decode-noncanonical-address	native-decoder	decode	native	concrete-frame	frame-noncanonical-address	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	62dea071b5a6d67e4be8de31f06dca37cef2c15d955f80175b12305c463bd602	-	0eb4009e737144ef961390e0f27efc6f57c9ec241df2527fa058dce605e37486
decode-nonconfidential-address	native-decoder	decode	native	concrete-frame	frame-nonconfidential-address	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	6bd9a737ebf30feca2eb4c5fe47cd670eaaefe49f33d501ab1c30e25618c423f	-	91eca9dd256539ac0368d9a52f55fbf9bafe61a5b37116fe34c1c81811a713ef
decode-numeric-before-structural	native-decoder	decode	native	concrete-frame	frame-combined-numeric-structural	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	numeric-before-structural	combined-defect	8466113ee4fa79661c25596820f4b46553f2dfc0390237c477501856d333c686	-	9776be85e33fb390f31020f3c7ee7997976cd4242e501e1682c05f1429755d46
decode-outer-before-discriminator	native-decoder	decode	native	deterministic-generated	-	model-outer-before-discriminator	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	outer-before-discriminator	outer-plus-one-wrong-magic	28772dc2caa8d48b3eddce4bf12e55cfa733b2344663e8485a30306fee2c46f0	-	31a58dddfbef5d1a6b21dc3869cdbc0b177148b8ee99d3606e8759831dc91517
decode-output-index-mismatch	native-decoder	decode	native	concrete-frame	frame-output-index-mismatch	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	7617a6a80841ef07d4fcd1108b02d85ec80aca4135949dca3fb02a6cd8dc0eb9	-	c51b3d5a38d7c573204a0f9f01e3019cfd45323a660f4c175d0930fa4662dc7e
decode-previous-count-plus-one	native-decoder	decode	native	concrete-frame	frame-previous-count-plus-one	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	63150c39472ca7797411e342677ba161b4fa14c6dcd383fbdbd36ea8672628b8	-	ee3bb278809bd6eff5043e55b97f0dfe210905ef08d1cb04e6f3a83989fbda42
decode-previous-duplicate	native-decoder	decode	native	concrete-frame	frame-previous-duplicate	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	fd8ff18d396e9bc1bcf0d2c68ea7bb60202975c31926617e26cd32cdd85affef	-	266c1fde6e52623731b84059078fbe591f8ff71ed68d739122cc54db037db54b
decode-previous-length-plus-one	native-decoder	decode	native	concrete-frame	frame-previous-length-plus-one	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	d0a07a6dc55a84d4b5f2ee8a4acad24451890223bfd1a7441b39ce26dad0952f	-	8131119bc70ff81d02a94c23c1bc07c9de287525115c6a46908b66036a427a40
decode-previous-length-zero	native-decoder	decode	native	concrete-frame	frame-previous-length-zero	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	1211fff7ca13bb9f8164e5ef59a43492d70eeba192443981586abc2dfc722383	-	3a655290499d01589289c0fa6d702f531ce5edae21b80f171a0c388f7bdfc072
decode-previous-order-before-numeric	native-decoder	decode	native	concrete-frame	frame-combined-previous-order-value	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	numeric-before-structural	combined-defect	d1452f63ce2fe69f3155c0a496f8c2008e427fe0a0c7cea50825cfcbd2165b93	-	ea14c62d84e706694cbfe5ffd5ca774decca79d77d7cdcdd8d51b2e119fb92cc
decode-previous-out-of-order	native-decoder	decode	native	concrete-frame	frame-previous-out-of-order	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	03c34f3cc62fc8dbb64269e4f4af4f44cf3f1dc8bb55e81f898be91d6b2b1fa2	-	ced62bfbce62c84f866c2672a80c75321a3d81d4c8c2b6cd8b2ff8d50438cb13
decode-public-output-shape	native-decoder	decode	native	concrete-frame	frame-public-output-shape	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	fbdce60fcb1072570c950accbf128b40f31c0a0c88bffb1d3f468a6670e80022	-	3d889ffe966ae051e0dcf4b8c9371acececf2a24fa2a09e72e8a32dbe512384f
decode-selected-count-plus-one	native-decoder	decode	native	concrete-frame	frame-selected-count-plus-one	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	1f9a4b0292483aae0029b38a9886ba88ba44ae8308f4e9615f6af9cd80722b60	-	5e7ebf23aaf4a8456b03dce12a9cf4338949dda1a347ec5bb12d3eca4b97d08b
decode-selected-count-zero	native-decoder	decode	native	concrete-frame	frame-selected-count-zero	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	332c552201275c470de9b1027ce4535a7b58090d4c6ff2cf532a9092b7f4f6e0	-	67f91d745707427deec5adb6f2065867092aa59c791dc711f6712838a71653fb
decode-selected-duplicate	native-decoder	decode	native	concrete-frame	frame-selected-duplicate	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	196cc92bf445d5ae6fbf3dbe8209dc9efd5ff050fd15cad3f4a1b76e8ac364d4	-	242fd7bed36d94fd59eb6246d5f52f2696739791acba5b530d333e61e6f4b469
decode-selected-index-plus-one	native-decoder	decode	native	concrete-frame	frame-selected-index-plus-one	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	ff9fa6c5dcea0cc5769ccefd125c3ff3a2bf826050c7183fbf3b4294f867c36f	-	90f8bb2c2c015088021c98e89da37143575a2469f57ce3919fd3b5dd1a665315
decode-selected-order-before-numeric	native-decoder	decode	native	concrete-frame	frame-combined-selected-order-value	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	numeric-before-structural	combined-defect	8e070ff26e78e56b8644c759b7576702c759b45c9359157f04f7c2321626ba98	-	bd93b2f1fb13e528c48c608c09aab88b3ea5b03e3eb7266d0e517fcc3802c41f
decode-selected-out-of-order	native-decoder	decode	native	concrete-frame	frame-selected-out-of-order	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	75e86002bf99c805a0edfc79e79d0caf60de43e76adc499e028e4b430a839f1c	-	e99038c41d105b3b5313db52a0a177f2ff867ae7436fb192da6f98486b3dc877
decode-selected-reserved	native-decoder	decode	native	concrete-frame	frame-selected-reserved	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	47c2482646346c7b093d04f9bd2fe3a569da5f246102538b37391d6bf62b7d22	-	9c957ddb51965ac0201cbf9c531bbcfe96a5a812a3fd5f47a6e5d1ff531188f4
decode-selected-value-plus-one	native-decoder	decode	native	concrete-frame	frame-selected-value-plus-one	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	5d4f6a874db36bbb4abc8d14a4fb74b0daea130d884807b6eac0c31cf114fcfd	-	b3265f69b2f02b424119fd053574ae0fa62170164760e8187cb8a31d7a5d4e4a
decode-selected-value-zero	native-decoder	decode	native	concrete-frame	frame-selected-value-zero	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	structural	a9ee16d5bb64a3e1c87873ae9913a11c1babb8d9278a8dbae7dc4e28f0648d9c	-	9ac0f4854bc0ef28c14eec9ad7cc6c644af54ceabc71f3dbbeb5a3cb9d8f984c
decode-short-seven	native-decoder	decode	native	concrete-frame	frame-short-seven	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	07c0ecab9ec12a7643a17cc6bbafebb57381879a115b8b76e4f97ef824881a3a	-	60ffe1785934c5ae6e0e6b01a8e992ebef0d5a713e02f7a7be275ba80adb1525
decode-source-before-body-limit	native-decoder	decode	native	concrete-frame	frame-combined-body-limit	-	4242424242424242424242424242424242424242424242424242424242424242	-	error	5	-	source-before-body	combined-defect	a9ee16d5bb64a3e1c87873ae9913a11c1babb8d9278a8dbae7dc4e28f0648d9c	-	aea3b82108258b7673f5bb7828f9eb80c054ed7fd4c8df5f9fd985c42d23fdc2
decode-source-binding-mismatch	native-decoder	decode	native	concrete-frame	frame-test-toy-single	-	4242424242424242424242424242424242424242424242424242424242424242	-	error	5	-	source-before-body	source-binding	301e282dec76985d4b6e19396fb38d33f76005c426c63b5691a391b89e9d2f2d	-	a5734625d0f72cdca9385519c6898813871cd685bda1f04aa138925a71820861
decode-structural-before-context	native-decoder	decode	native	concrete-frame	frame-combined-structural-context	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	structural-before-context	combined-defect	d42495d623bf56b3b1c87ffea6bd6d498aa30f0334faea95bf8aee959841b1ce	-	0871295d20d0604c005a7a8a23459cf11be2d4cfe223fa108da4d78073f76d4b
decode-tail-reserved-nonzero	native-decoder	decode	native	concrete-frame	frame-tail-reserved-nonzero	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	1db26e00b4d3ce2ffb8ca72b4c89a3e1a4a324b2321916103724342878acd8de	-	75e8437f9ce026401cc43fc39a361d48e494274b689bcdfde6f26c525df7addb
decode-test-public-valid	native-decoder	decode	native	concrete-frame	frame-test-public-valid	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	-	structural-success	fa8cf8321c8de34a8d4d1f8c881b327bf3961520857e2480e5564ccff012153f	-	5e05378c4dcf39b8fc368f6dfa81d0be2dd5aed0d67230e3a00da00bf80a3eab
decode-test-shared-previous-valid	native-decoder	decode	native	concrete-frame	frame-test-shared-previous-valid	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	-	structural-success	ef47458656fb0f9118ea1f9964b70a72ced729feb2226aac3231ddc8494426e7	-	1c8423b55fe3188bc2633eaea57571a18711ed77f081d951b2c87ae8fb4f51d9
decode-test-toy-multiasset	native-decoder	decode	native	concrete-frame	frame-test-toy-multiasset	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	-	structural-success	18b492be86f8ab55c6029849c1a35fa7e2138e27c13cb2c564b37addd99774f5	-	6011da6b49dab6ccacba018fff8556878779a53af09d1ce50181ceddbd694e10
decode-test-toy-ordered	native-decoder	decode	native	concrete-frame	frame-test-toy-ordered	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	-	structural-success	909088e306d2e9d6941dc28c05012f8db3ce3b72a89626474936e0715d4b5ef3	-	c24b1b3d0ea02715ba1c137efacfab1fd013e739355640aee1d1026fa2bd5771
