boundary_id	source_model_id	operation	boundary_kind	production_constant	numeric_domain	formula	execution_class	expected_status	expected_value	expected_error_code	coverage
destination-value-maximum	model-boundary-destination-value-maximum	decode	destination-value	max-plan-value	u64	2100000000000000	deterministic-generated	ok	2100000000000000	0	maximum
destination-value-minimum	model-boundary-destination-value-minimum	decode	destination-value	max-plan-value	u64	1	deterministic-generated	ok	1	0	minimum
destination-value-plus-one	model-boundary-destination-value-plus-one	decode	destination-value	max-plan-value	u64	2100000000000000+1	deterministic-generated	error	2100000000000001	4	plus-one
destinations-maximum	model-boundary-destinations-maximum	decode	destination-count	max-confidential-destinations	u64	255	deterministic-generated	ok	255	0	maximum
destinations-minimum	model-boundary-destinations-minimum	decode	destination-count	max-confidential-destinations	u64	1	deterministic-generated	ok	1	0	minimum
destinations-plus-one	model-boundary-destinations-plus-one	decode	destination-count	max-confidential-destinations	u64	255+1	deterministic-generated	error	256	4	plus-one
expanded-transaction-bytes-maximum	model-boundary-expanded-transaction-bytes-maximum	decode	aggregate-transaction-bytes	max-aggregate-transaction-bytes	u64	67108864	deterministic-generated	ok	67108864	0	maximum
expanded-transaction-bytes-minimum	model-boundary-expanded-transaction-bytes-minimum	decode	aggregate-transaction-bytes	max-aggregate-transaction-bytes	u64	1	deterministic-generated	ok	1	0	minimum
expanded-transaction-bytes-plus-one	model-boundary-expanded-transaction-bytes-plus-one	decode	aggregate-transaction-bytes	max-aggregate-transaction-bytes	u64	67108864+1	deterministic-generated	error	67108865	4	plus-one
fee-value-maximum	model-boundary-fee-value-maximum	decode	fee-value	max-plan-value	u64	2100000000000000	deterministic-generated	ok	2100000000000000	0	maximum
fee-value-minimum	model-boundary-fee-value-minimum	decode	fee-value	max-plan-value	u64	1	deterministic-generated	ok	1	0	minimum
fee-value-plus-one	model-boundary-fee-value-plus-one	decode	fee-value	max-plan-value	u64	2100000000000000+1	deterministic-generated	error	2100000000000001	4	plus-one
outer-rejection-ceiling	model-boundary-outer-rejection-ceiling	outer-length	outer-ceiling	max-request-frame-bytes	usize64	268435456	symbolic-only	ok	268435456	0	rejection-only
outer-rejection-plus-one	model-boundary-outer-rejection-plus-one	outer-length	outer-ceiling	max-request-frame-bytes	usize64	268435456+1	symbolic-only	error	268435457	4	plus-one
output-index-maximum	model-boundary-output-index-maximum	decode	output-index	max-spendable-output-index	u64	1073741823	deterministic-generated	ok	1073741823	0	maximum
output-index-minimum	model-boundary-output-index-minimum	decode	output-index	max-spendable-output-index	u64	0	deterministic-generated	ok	0	0	minimum
output-index-plus-one	model-boundary-output-index-plus-one	decode	output-index	max-spendable-output-index	u64	1073741823+1	deterministic-generated	error	1073741824	4	plus-one
previous-transaction-bytes-maximum	model-boundary-previous-transaction-bytes-maximum	decode	previous-transaction-length	max-transaction-payload-bytes	u64	4194304	deterministic-generated	ok	4194304	0	maximum
previous-transaction-bytes-minimum	model-boundary-previous-transaction-bytes-minimum	decode	previous-transaction-length	max-transaction-payload-bytes	u64	1	deterministic-generated	ok	1	0	minimum
previous-transaction-bytes-plus-one	model-boundary-previous-transaction-bytes-plus-one	decode	previous-transaction-length	max-transaction-payload-bytes	u64	4194304+1	deterministic-generated	error	4194305	4	plus-one
reachable-frame-maximum	model-boundary-reachable-frame-maximum	checked-arithmetic	reachable-maximum	max-reachable-request-bytes	usize64	152+100*88+255*48+255*256+16384*4+67108864	symbolic-only	ok	67260872	0	exact-formula
required-numeric-zero	model-boundary-required-numeric-zero	decode	required-numeric	none	u64	0	concrete-frame	error	0	4	count-length-value
row-previous-entries-maximum	model-boundary-row-previous-entries-maximum	decode	row-previous-count	max-previous-transaction-entries	u64	16384	deterministic-generated	ok	16384	0	maximum
row-previous-entries-minimum	model-boundary-row-previous-entries-minimum	decode	row-previous-count	max-previous-transaction-entries	u64	0	deterministic-generated	ok	0	0	minimum
row-previous-entries-plus-one	model-boundary-row-previous-entries-plus-one	decode	row-previous-count	max-previous-transaction-entries	u64	16384+1	deterministic-generated	error	16385	4	plus-one
selected-inputs-maximum	model-boundary-selected-inputs-maximum	decode	selected-count	max-selected-inputs	u64	100	deterministic-generated	ok	100	0	maximum
selected-inputs-minimum	model-boundary-selected-inputs-minimum	decode	selected-count	max-selected-inputs	u64	1	deterministic-generated	ok	1	0	minimum
selected-inputs-plus-one	model-boundary-selected-inputs-plus-one	decode	selected-count	max-selected-inputs	u64	100+1	deterministic-generated	error	101	4	plus-one
selected-value-maximum	model-boundary-selected-value-maximum	decode	selected-value	max-plan-value	u64	2100000000000000	deterministic-generated	ok	2100000000000000	0	maximum
selected-value-minimum	model-boundary-selected-value-minimum	decode	selected-value	max-plan-value	u64	1	deterministic-generated	ok	1	0	minimum
selected-value-plus-one	model-boundary-selected-value-plus-one	decode	selected-value	max-plan-value	u64	2100000000000000+1	deterministic-generated	error	2100000000000001	4	plus-one
